League;Date;Get;Pay;Value;Confidence
Hardcore;2023-12-08;Perandus Coin;Chaos Orb;0.01693;Low
Hardcore;2023-12-09;Perandus Coin;Chaos Orb;0.01693;Low
Hardcore;2023-12-10;Perandus Coin;Chaos Orb;0.01693;Low
Hardcore;2023-12-11;Perandus Coin;Chaos Orb;0.01693;Low
Hardcore;2023-12-12;Perandus Coin;Chaos Orb;0.01693;Low
Hardcore;2023-12-13;Perandus Coin;Chaos Orb;0.01693;Low
Hardcore;2023-12-14;Perandus Coin;Chaos Orb;0.01693;Low
Hardcore;2023-12-15;Perandus Coin;Chaos Orb;0.01693;Low
Hardcore;2023-12-16;Perandus Coin;Chaos Orb;0.01693;Low
Hardcore;2023-12-17;Perandus Coin;Chaos Orb;0.01693;Low
Hardcore;2023-12-18;Perandus Coin;Chaos Orb;0.01693;Low
Hardcore;2023-12-19;Perandus Coin;Chaos Orb;0.01693;Low
Hardcore;2023-12-20;Perandus Coin;Chaos Orb;0.01693;Low
Hardcore;2023-12-21;Perandus Coin;Chaos Orb;0.01693;Low
Hardcore;2023-12-22;Perandus Coin;Chaos Orb;0.01693;Low
Hardcore;2023-12-23;Perandus Coin;Chaos Orb;0.01693;Low
Hardcore;2023-12-24;Perandus Coin;Chaos Orb;0.01693;Low
Hardcore;2023-12-25;Perandus Coin;Chaos Orb;0.01693;Low
Hardcore;2023-12-26;Perandus Coin;Chaos Orb;0.01693;Low
Hardcore;2023-12-27;Perandus Coin;Chaos Orb;0.01693;Low
Hardcore;2023-12-28;Perandus Coin;Chaos Orb;0.01693;Low
Hardcore;2023-12-29;Perandus Coin;Chaos Orb;0.01693;Low
Hardcore;2023-12-30;Perandus Coin;Chaos Orb;0.01693;Low
Hardcore;2023-12-31;Perandus Coin;Chaos Orb;0.01693;Low
Hardcore;2024-01-01;Perandus Coin;Chaos Orb;0.01693;Low
Hardcore;2024-01-02;Perandus Coin;Chaos Orb;0.01693;Low
Hardcore;2024-01-03;Perandus Coin;Chaos Orb;0.01693;Low
Hardcore;2024-01-04;Perandus Coin;Chaos Orb;0.01693;Low
Hardcore;2024-01-05;Perandus Coin;Chaos Orb;0.01693;Low
Hardcore;2024-01-06;Perandus Coin;Chaos Orb;0.01693;Low
Hardcore;2024-01-07;Perandus Coin;Chaos Orb;0.01693;Low
Hardcore;2024-01-08;Perandus Coin;Chaos Orb;0.01693;Low
Hardcore;2024-01-09;Perandus Coin;Chaos Orb;0.01693;Low
Hardcore;2024-01-10;Perandus Coin;Chaos Orb;0.01693;Low
Hardcore;2024-01-11;Perandus Coin;Chaos Orb;0.01693;Low
Hardcore;2024-01-12;Perandus Coin;Chaos Orb;0.01693;Low
Hardcore;2024-01-13;Perandus Coin;Chaos Orb;0.01693;Low
Hardcore;2024-01-14;Perandus Coin;Chaos Orb;0.01693;Low
Hardcore;2024-01-15;Perandus Coin;Chaos Orb;0.01693;Low
Hardcore;2024-01-16;Perandus Coin;Chaos Orb;0.01693;Low
Hardcore;2024-01-17;Perandus Coin;Chaos Orb;0.01693;Low
Hardcore;2024-01-18;Perandus Coin;Chaos Orb;0.01693;Low
Hardcore;2024-01-19;Perandus Coin;Chaos Orb;0.01693;Low
Hardcore;2024-01-20;Perandus Coin;Chaos Orb;0.01693;Low
Hardcore;2024-01-21;Perandus Coin;Chaos Orb;0.01693;Low
Hardcore;2024-01-22;Perandus Coin;Chaos Orb;0.01693;Low
Hardcore;2024-01-23;Perandus Coin;Chaos Orb;0.01693;Low
Hardcore;2024-01-24;Perandus Coin;Chaos Orb;0.01693;Low
Hardcore;2024-01-25;Perandus Coin;Chaos Orb;0.01693;Low
Hardcore;2024-01-26;Perandus Coin;Chaos Orb;0.01667;Low
Hardcore;2024-01-27;Perandus Coin;Chaos Orb;0.01667;Low
Hardcore;2024-02-04;Perandus Coin;Chaos Orb;0.01923;Low
Hardcore;2024-02-05;Perandus Coin;Chaos Orb;0.01923;Low
Hardcore;2024-02-06;Perandus Coin;Chaos Orb;0.01923;Low
Hardcore;2024-02-07;Perandus Coin;Chaos Orb;0.01923;Low
Hardcore;2024-02-08;Perandus Coin;Chaos Orb;0.01923;Low
Hardcore;2024-02-09;Perandus Coin;Chaos Orb;0.01923;Low
Hardcore;2024-02-10;Perandus Coin;Chaos Orb;0.01923;Low
Hardcore;2024-02-11;Perandus Coin;Chaos Orb;0.01923;Low
Hardcore;2024-02-12;Perandus Coin;Chaos Orb;0.01693;Low
