League;Date;Get;Pay;Value;Confidence
Hardcore;2023-04-07;Perandus Coin;Chaos Orb;0.01718;Low
Hardcore;2023-04-08;Perandus Coin;Chaos Orb;0.01718;Low
Hardcore;2023-04-09;Perandus Coin;Chaos Orb;0.01718;Low
Hardcore;2023-04-10;Perandus Coin;Chaos Orb;0.01718;Low
Hardcore;2023-04-11;Perandus Coin;Chaos Orb;0.01718;Low
Hardcore;2023-04-12;Perandus Coin;Chaos Orb;0.01718;Low
Hardcore;2023-04-13;Perandus Coin;Chaos Orb;0.01667;Low
Hardcore;2023-04-14;Perandus Coin;Chaos Orb;0.01667;Low
Hardcore;2023-04-15;Perandus Coin;Chaos Orb;0.01667;Low
Hardcore;2023-04-16;Perandus Coin;Chaos Orb;0.01667;Low
Hardcore;2023-04-17;Perandus Coin;Chaos Orb;0.01667;Low
Hardcore;2023-04-18;Perandus Coin;Chaos Orb;0.01667;Low
Hardcore;2023-04-19;Perandus Coin;Chaos Orb;0.01667;Low
Hardcore;2023-04-20;Perandus Coin;Chaos Orb;0.01667;Low
Hardcore;2023-04-25;Perandus Coin;Chaos Orb;1.998;Low
Hardcore;2023-04-26;Perandus Coin;Chaos Orb;1.998;Low
Hardcore;2023-04-27;Perandus Coin;Chaos Orb;1.998;Low
Hardcore;2023-04-28;Perandus Coin;Chaos Orb;0.01923;Low
Hardcore;2023-04-29;Perandus Coin;Chaos Orb;0.01923;Low
Hardcore;2023-04-30;Perandus Coin;Chaos Orb;0.01923;Low
Hardcore;2023-05-01;Perandus Coin;Chaos Orb;0.01923;Low
Hardcore;2023-05-02;Perandus Coin;Chaos Orb;0.01923;Low
Hardcore;2023-05-03;Perandus Coin;Chaos Orb;0.01923;Low
Hardcore;2023-05-04;Perandus Coin;Chaos Orb;0.01923;Low
Hardcore;2023-05-13;Perandus Coin;Chaos Orb;0.01923;Low
Hardcore;2023-05-14;Perandus Coin;Chaos Orb;0.01923;Low
Hardcore;2023-05-15;Perandus Coin;Chaos Orb;0.01923;Low
Hardcore;2023-05-16;Perandus Coin;Chaos Orb;0.01923;Low
Hardcore;2023-05-17;Perandus Coin;Chaos Orb;0.01923;Low
Hardcore;2023-05-18;Perandus Coin;Chaos Orb;0.01923;Low
Hardcore;2023-05-19;Perandus Coin;Chaos Orb;0.01923;Low
Hardcore;2023-05-20;Perandus Coin;Chaos Orb;0.01923;Low
Hardcore;2023-08-08;Perandus Coin;Chaos Orb;0.01667;Low
Hardcore;2023-08-09;Perandus Coin;Chaos Orb;0.01667;Low
Hardcore;2023-08-10;Perandus Coin;Chaos Orb;0.01667;Low
Hardcore;2023-08-11;Perandus Coin;Chaos Orb;0.01667;Low
Hardcore;2023-08-12;Perandus Coin;Chaos Orb;0.01667;Low
