League;Date;Get;Pay;Value;Confidence
Hardcore;2022-08-19;Chaos Orb;Orb of Alteration;25;Low
Hardcore;2022-08-20;Chaos Orb;Orb of Alteration;25;Low
Hardcore;2022-08-21;Chaos Orb;Orb of Alteration;25;Low
Hardcore;2022-08-22;Chaos Orb;Orb of Alteration;25;Low
Hardcore;2022-08-23;Chaos Orb;Orb of Alteration;25;Low
Hardcore;2022-08-24;Chaos Orb;Orb of Alteration;25;Low
Hardcore;2022-08-25;Chaos Orb;Orb of Alteration;25;Low
Hardcore;2022-08-19;Exalted Orb;Chaos Orb;65.5;Low
Hardcore;2022-08-20;Exalted Orb;Chaos Orb;65.5;Low
Hardcore;2022-08-21;Exalted Orb;Chaos Orb;65.5;Low
Hardcore;2022-08-22;Exalted Orb;Chaos Orb;65.5;Low
Hardcore;2022-08-23;Exalted Orb;Chaos Orb;65;Low
Hardcore;2022-08-24;Exalted Orb;Chaos Orb;65;Low
Hardcore;2022-08-25;Exalted Orb;Chaos Orb;65;Low
Hardcore;2022-08-26;Exalted Orb;Chaos Orb;250;Low
Hardcore;2022-08-27;Exalted Orb;Chaos Orb;250;Low
Hardcore;2022-08-28;Exalted Orb;Chaos Orb;250;Low
Hardcore;2022-08-29;Exalted Orb;Chaos Orb;250;Low
Hardcore;2022-08-30;Exalted Orb;Chaos Orb;250;Low
Hardcore;2022-08-31;Exalted Orb;Chaos Orb;250;Low
Hardcore;2022-09-01;Exalted Orb;Chaos Orb;250;Low
Hardcore;2022-09-02;Exalted Orb;Chaos Orb;250;Low
Hardcore;2022-09-06;Exalted Orb;Chaos Orb;100;Low
Hardcore;2022-09-07;Exalted Orb;Chaos Orb;100;Low
Hardcore;2022-09-08;Exalted Orb;Chaos Orb;100;Low
Hardcore;2022-09-09;Exalted Orb;Chaos Orb;100;Low
Hardcore;2022-09-10;Exalted Orb;Chaos Orb;100;Low
Hardcore;2022-09-11;Exalted Orb;Chaos Orb;100;Low
Hardcore;2022-09-12;Exalted Orb;Chaos Orb;100;Low
Hardcore;2022-09-13;Exalted Orb;Chaos Orb;100;Low
Hardcore;2022-10-09;Exalted Orb;Chaos Orb;113.3339;Low
Hardcore;2022-10-10;Exalted Orb;Chaos Orb;113.3339;Low
Hardcore;2022-10-11;Exalted Orb;Chaos Orb;113.3339;Low
Hardcore;2022-10-12;Exalted Orb;Chaos Orb;113.3339;Low
Hardcore;2022-10-13;Exalted Orb;Chaos Orb;113.3339;Low
Hardcore;2022-10-16;Exalted Orb;Chaos Orb;113.3339;Low
Hardcore;2022-10-21;Exalted Orb;Chaos Orb;133.334;Low
Hardcore;2022-10-22;Exalted Orb;Chaos Orb;133.334;Low
Hardcore;2022-10-23;Exalted Orb;Chaos Orb;133.334;Low
Hardcore;2022-10-24;Exalted Orb;Chaos Orb;133.334;Low
Hardcore;2022-10-25;Exalted Orb;Chaos Orb;133.334;Low
Hardcore;2022-10-26;Exalted Orb;Chaos Orb;133.334;Low
Hardcore;2022-10-27;Exalted Orb;Chaos Orb;133.334;Low
Hardcore;2022-10-28;Exalted Orb;Chaos Orb;133.334;Low
Hardcore;2022-11-13;Exalted Orb;Chaos Orb;66.667;Low
Hardcore;2022-11-14;Exalted Orb;Chaos Orb;63.66699;Low
Hardcore;2022-11-15;Exalted Orb;Chaos Orb;66.667;Low
Hardcore;2022-08-19;Armourer's Scrap;Chaos Orb;0.06873;Low
Hardcore;2022-08-20;Armourer's Scrap;Chaos Orb;3.145;Low
Hardcore;2022-08-21;Armourer's Scrap;Chaos Orb;3.145;Low
Hardcore;2022-08-22;Armourer's Scrap;Chaos Orb;3.145;Low
Hardcore;2022-08-23;Armourer's Scrap;Chaos Orb;3.145;Low
Hardcore;2022-08-24;Armourer's Scrap;Chaos Orb;3.145;Low
Hardcore;2022-08-25;Armourer's Scrap;Chaos Orb;3.145;Low
Hardcore;2022-08-26;Armourer's Scrap;Chaos Orb;4;Low
Hardcore;2022-08-27;Armourer's Scrap;Chaos Orb;0.4175;Low
Hardcore;2022-08-28;Armourer's Scrap;Chaos Orb;0.4175;Low
Hardcore;2022-08-29;Armourer's Scrap;Chaos Orb;0.4175;Low
Hardcore;2022-08-30;Armourer's Scrap;Chaos Orb;0.4175;Low
Hardcore;2022-08-31;Armourer's Scrap;Chaos Orb;0.4175;Low
Hardcore;2022-09-01;Armourer's Scrap;Chaos Orb;0.4175;Low
Hardcore;2022-09-02;Armourer's Scrap;Chaos Orb;5;Low
Hardcore;2022-09-03;Armourer's Scrap;Chaos Orb;5;Low
Hardcore;2022-09-04;Armourer's Scrap;Chaos Orb;5;Low
Hardcore;2022-09-05;Armourer's Scrap;Chaos Orb;5;Low
Hardcore;2022-09-06;Armourer's Scrap;Chaos Orb;5;Low
Hardcore;2022-09-07;Armourer's Scrap;Chaos Orb;5;Low
Hardcore;2022-09-08;Armourer's Scrap;Chaos Orb;5;Low
Hardcore;2022-09-09;Armourer's Scrap;Chaos Orb;1;Low
Hardcore;2022-09-10;Armourer's Scrap;Chaos Orb;1;Low
Hardcore;2022-09-11;Armourer's Scrap;Chaos Orb;1;Low
Hardcore;2022-09-12;Armourer's Scrap;Chaos Orb;1;Low
Hardcore;2022-09-13;Armourer's Scrap;Chaos Orb;1;Low
Hardcore;2022-09-14;Armourer's Scrap;Chaos Orb;1;Low
Hardcore;2022-09-15;Armourer's Scrap;Chaos Orb;1;Low
Hardcore;2022-09-16;Armourer's Scrap;Chaos Orb;1;Low
Hardcore;2022-09-30;Armourer's Scrap;Chaos Orb;1;Low
Hardcore;2022-11-28;Armourer's Scrap;Chaos Orb;1;Low
Hardcore;2022-11-29;Armourer's Scrap;Chaos Orb;1;Low
Hardcore;2022-12-02;Armourer's Scrap;Chaos Orb;5;Low
Hardcore;2022-12-03;Armourer's Scrap;Chaos Orb;5;Low
Hardcore;2022-12-04;Armourer's Scrap;Chaos Orb;5;Low
Hardcore;2022-12-05;Armourer's Scrap;Chaos Orb;5;Low
Hardcore;2022-12-06;Armourer's Scrap;Chaos Orb;5;Low
Hardcore;2022-08-19;Chaos Orb;Exalted Orb;0.01102;High
Hardcore;2022-08-20;Chaos Orb;Exalted Orb;0.01035;Medium
Hardcore;2022-08-21;Chaos Orb;Exalted Orb;0.01035;Medium
Hardcore;2022-08-22;Chaos Orb;Exalted Orb;0.01035;Medium
Hardcore;2022-08-23;Chaos Orb;Exalted Orb;0.01069;Medium
Hardcore;2022-08-24;Chaos Orb;Exalted Orb;0.01271;Medium
Hardcore;2022-08-25;Chaos Orb;Exalted Orb;0.01271;Medium
Hardcore;2022-08-26;Chaos Orb;Exalted Orb;0.01083;Low
Hardcore;2022-08-27;Chaos Orb;Exalted Orb;0.0174;Low
Hardcore;2022-08-28;Chaos Orb;Exalted Orb;0.0174;Low
Hardcore;2022-08-29;Chaos Orb;Exalted Orb;0.0174;Low
Hardcore;2022-08-30;Chaos Orb;Exalted Orb;0.01693;Low
Hardcore;2022-08-31;Chaos Orb;Exalted Orb;0.01693;Low
Hardcore;2022-09-01;Chaos Orb;Exalted Orb;0.01693;Low
Hardcore;2022-09-02;Chaos Orb;Exalted Orb;0.01693;Low
Hardcore;2022-09-03;Chaos Orb;Exalted Orb;0.01667;Low
Hardcore;2022-09-04;Chaos Orb;Exalted Orb;0.01667;Low
Hardcore;2022-09-05;Chaos Orb;Exalted Orb;0.01667;Low
Hardcore;2022-09-13;Chaos Orb;Exalted Orb;0.02222;Low
Hardcore;2022-09-14;Chaos Orb;Exalted Orb;0.02222;Low
Hardcore;2022-09-15;Chaos Orb;Exalted Orb;0.02222;Low
Hardcore;2022-09-16;Chaos Orb;Exalted Orb;0.01723;Low
Hardcore;2022-09-17;Chaos Orb;Exalted Orb;0.01334;Low
Hardcore;2022-09-18;Chaos Orb;Exalted Orb;0.01334;Low
Hardcore;2022-09-19;Chaos Orb;Exalted Orb;0.01294;Low
Hardcore;2022-09-20;Chaos Orb;Exalted Orb;0.01294;Low
Hardcore;2022-09-21;Chaos Orb;Exalted Orb;0.01294;Low
Hardcore;2022-09-22;Chaos Orb;Exalted Orb;0.01294;Low
Hardcore;2022-09-23;Chaos Orb;Exalted Orb;0.01253;Low
Hardcore;2022-09-24;Chaos Orb;Exalted Orb;0.01253;Low
Hardcore;2022-09-29;Chaos Orb;Exalted Orb;0.01923;Low
Hardcore;2022-09-30;Chaos Orb;Exalted Orb;0.01923;Low
Hardcore;2022-10-01;Chaos Orb;Exalted Orb;0.01923;Low
Hardcore;2022-10-02;Chaos Orb;Exalted Orb;0.01923;Low
Hardcore;2022-10-03;Chaos Orb;Exalted Orb;0.01923;Low
Hardcore;2022-10-04;Chaos Orb;Exalted Orb;0.01923;Low
Hardcore;2022-10-05;Chaos Orb;Exalted Orb;0.01923;Low
Hardcore;2022-10-06;Chaos Orb;Exalted Orb;0.01923;Low
Hardcore;2022-10-07;Chaos Orb;Exalted Orb;0.14832;Low
Hardcore;2022-10-08;Chaos Orb;Exalted Orb;0.14832;Low
Hardcore;2022-10-09;Chaos Orb;Exalted Orb;0.14832;Low
Hardcore;2022-10-10;Chaos Orb;Exalted Orb;0.14832;Low
Hardcore;2022-10-11;Chaos Orb;Exalted Orb;0.14832;Low
Hardcore;2022-10-12;Chaos Orb;Exalted Orb;0.14832;Low
Hardcore;2022-10-13;Chaos Orb;Exalted Orb;0.14832;Low
Hardcore;2022-08-19;Blacksmith's Whetstone;Chaos Orb;0.10349;Low
Hardcore;2022-08-20;Blacksmith's Whetstone;Chaos Orb;3;Low
Hardcore;2022-08-21;Blacksmith's Whetstone;Chaos Orb;3;Low
Hardcore;2022-08-22;Blacksmith's Whetstone;Chaos Orb;3;Low
Hardcore;2022-08-23;Blacksmith's Whetstone;Chaos Orb;3;Low
Hardcore;2022-08-24;Blacksmith's Whetstone;Chaos Orb;3;Low
Hardcore;2022-08-25;Blacksmith's Whetstone;Chaos Orb;3.145;Low
Hardcore;2022-08-26;Blacksmith's Whetstone;Chaos Orb;4;Low
Hardcore;2022-09-01;Blacksmith's Whetstone;Chaos Orb;5;Low
Hardcore;2022-09-02;Blacksmith's Whetstone;Chaos Orb;5;Low
Hardcore;2022-09-03;Blacksmith's Whetstone;Chaos Orb;5;Low
Hardcore;2022-09-04;Blacksmith's Whetstone;Chaos Orb;5;Low
Hardcore;2022-09-05;Blacksmith's Whetstone;Chaos Orb;5;Low
Hardcore;2022-09-06;Blacksmith's Whetstone;Chaos Orb;1.4;Low
Hardcore;2022-09-07;Blacksmith's Whetstone;Chaos Orb;1.4;Low
Hardcore;2022-09-08;Blacksmith's Whetstone;Chaos Orb;1.4;Low
Hardcore;2022-09-09;Blacksmith's Whetstone;Chaos Orb;1;Low
Hardcore;2022-09-10;Blacksmith's Whetstone;Chaos Orb;1;Low
Hardcore;2022-09-11;Blacksmith's Whetstone;Chaos Orb;1;Low
Hardcore;2022-09-12;Blacksmith's Whetstone;Chaos Orb;1;Low
Hardcore;2022-09-13;Blacksmith's Whetstone;Chaos Orb;1;Low
Hardcore;2022-09-14;Blacksmith's Whetstone;Chaos Orb;1;Low
Hardcore;2022-09-15;Blacksmith's Whetstone;Chaos Orb;1;Low
Hardcore;2022-09-16;Blacksmith's Whetstone;Chaos Orb;1;Low
Hardcore;2022-11-28;Blacksmith's Whetstone;Chaos Orb;1;Low
Hardcore;2022-11-29;Blacksmith's Whetstone;Chaos Orb;1;Low
Hardcore;2022-12-02;Blacksmith's Whetstone;Chaos Orb;5;Low
Hardcore;2022-12-03;Blacksmith's Whetstone;Chaos Orb;5;Low
Hardcore;2022-12-04;Blacksmith's Whetstone;Chaos Orb;5;Low
Hardcore;2022-12-05;Blacksmith's Whetstone;Chaos Orb;5;Low
Hardcore;2022-12-06;Blacksmith's Whetstone;Chaos Orb;5;Low
Hardcore;2022-08-19;Orb of Transmutation;Chaos Orb;0.81938;Low
Hardcore;2022-08-20;Orb of Transmutation;Chaos Orb;0.88755;Low
Hardcore;2022-08-21;Orb of Transmutation;Chaos Orb;0.88755;Low
Hardcore;2022-08-22;Orb of Transmutation;Chaos Orb;0.88755;Low
Hardcore;2022-08-23;Orb of Transmutation;Chaos Orb;0.88755;Low
Hardcore;2022-08-24;Orb of Transmutation;Chaos Orb;0.88755;Low
Hardcore;2022-08-25;Orb of Transmutation;Chaos Orb;0.88755;Low
Hardcore;2022-08-26;Orb of Transmutation;Chaos Orb;0.62349;Low
Hardcore;2022-09-01;Orb of Transmutation;Chaos Orb;5;Low
Hardcore;2022-09-02;Orb of Transmutation;Chaos Orb;5;Low
