League;Date;Get;Pay;Value;Confidence
Hardcore;2023-03-13;Perandus Coin;Chaos Orb;0.01923;Low
Hardcore;2023-03-14;Perandus Coin;Chaos Orb;0.01923;Low
Hardcore;2023-03-15;Perandus Coin;Chaos Orb;0.01923;Low
Hardcore;2023-03-16;Perandus Coin;Chaos Orb;0.01923;Low
Hardcore;2023-03-17;Perandus Coin;Chaos Orb;0.01923;Low
Hardcore;2023-03-18;Perandus Coin;Chaos Orb;0.01923;Low
Hardcore;2023-03-19;Perandus Coin;Chaos Orb;0.01923;Low
Hardcore;2023-03-20;Perandus Coin;Chaos Orb;0.01923;Low
Hardcore;2023-03-21;Perandus Coin;Chaos Orb;0.01923;Low
Hardcore;2023-03-22;Perandus Coin;Chaos Orb;0.01923;Low
Hardcore;2023-03-23;Perandus Coin;Chaos Orb;0.01923;Low
Hardcore;2023-03-24;Perandus Coin;Chaos Orb;0.01923;Low
Hardcore;2023-03-25;Perandus Coin;Chaos Orb;0.01923;Low
Hardcore;2023-03-26;Perandus Coin;Chaos Orb;0.01923;Low
Hardcore;2023-03-27;Perandus Coin;Chaos Orb;0.2997;Low
Hardcore;2023-03-28;Perandus Coin;Chaos Orb;0.2997;Low
Hardcore;2023-03-29;Perandus Coin;Chaos Orb;0.2997;Low
Hardcore;2023-03-30;Perandus Coin;Chaos Orb;0.01923;Low
Hardcore;2023-03-31;Perandus Coin;Chaos Orb;0.01923;Low
Hardcore;2023-04-01;Perandus Coin;Chaos Orb;0.01923;Low
Hardcore;2023-04-02;Perandus Coin;Chaos Orb;0.01923;Low
Hardcore;2023-04-03;Perandus Coin;Chaos Orb;0.01923;Low
Hardcore;2023-04-04;Perandus Coin;Chaos Orb;0.01923;Low
Hardcore;2022-12-09;Exalted Orb;Chaos Orb;70.35541;Low
Hardcore;2022-12-10;Exalted Orb;Chaos Orb;70.35541;Low
Hardcore;2022-12-11;Exalted Orb;Chaos Orb;72.00842;Low
Hardcore;2022-12-12;Exalted Orb;Chaos Orb;72.00842;Low
Hardcore;2022-12-13;Exalted Orb;Chaos Orb;72.00842;Low
Hardcore;2022-12-14;Exalted Orb;Chaos Orb;72.00842;Low
Hardcore;2023-01-19;Exalted Orb;Chaos Orb;33.333;Low
Hardcore;2023-01-20;Exalted Orb;Chaos Orb;33.333;Low
Hardcore;2023-01-21;Exalted Orb;Chaos Orb;33.333;Low
Hardcore;2023-01-22;Exalted Orb;Chaos Orb;33.333;Low
Hardcore;2023-01-23;Exalted Orb;Chaos Orb;50;Low
Hardcore;2023-01-24;Exalted Orb;Chaos Orb;50;Low
Hardcore;2023-01-25;Exalted Orb;Chaos Orb;50;Low
Hardcore;2023-01-26;Exalted Orb;Chaos Orb;50;Low
Hardcore;2023-01-27;Exalted Orb;Chaos Orb;50;Low
Hardcore;2023-01-28;Exalted Orb;Chaos Orb;50;Low
Hardcore;2023-01-29;Exalted Orb;Chaos Orb;50;Low
Hardcore;2023-01-30;Exalted Orb;Chaos Orb;50;Low
Hardcore;2023-01-31;Exalted Orb;Chaos Orb;66.666;Low
Hardcore;2023-02-01;Exalted Orb;Chaos Orb;66.666;Low
Hardcore;2023-02-02;Exalted Orb;Chaos Orb;66.666;Low
Hardcore;2023-02-10;Exalted Orb;Chaos Orb;23;Low
Hardcore;2023-02-11;Exalted Orb;Chaos Orb;23;Low
Hardcore;2023-02-12;Exalted Orb;Chaos Orb;23;Low
Hardcore;2023-02-13;Exalted Orb;Chaos Orb;23;Low
Hardcore;2023-02-14;Exalted Orb;Chaos Orb;23;Low
Hardcore;2023-02-15;Exalted Orb;Chaos Orb;23;Low
Hardcore;2023-02-16;Exalted Orb;Chaos Orb;23;Low
Hardcore;2023-02-17;Exalted Orb;Chaos Orb;23;Low
Hardcore;2023-03-27;Exalted Orb;Chaos Orb;60.0003;Low
Hardcore;2023-03-28;Exalted Orb;Chaos Orb;60.0003;Low
Hardcore;2023-03-29;Exalted Orb;Chaos Orb;60.0003;Low
Hardcore;2023-03-30;Exalted Orb;Chaos Orb;60.0003;Low
Hardcore;2023-03-31;Exalted Orb;Chaos Orb;60.0003;Low
